schemaVersion,recordType,source_name,source_url,entityName,employeeCount,founded,location,totalFunding,category,collectedAt
1.0,STARTUP,HuggingFace,https://huggingface.co/blanchefort,blanchefort,,,,,AI/ML Organization,2026-08-15T19:26:51.421735Z
1.0,STARTUP,HuggingFace,https://huggingface.co/cybersectony,cybersectony,,,,,AI/ML Organization,2026-08-15T19:26:51.421735Z
1.0,STARTUP,HuggingFace,https://huggingface.co/FacebookAI,FacebookAI,,,,,AI/ML Organization,2026-08-15T19:26:51.421735Z
1.0,STARTUP,HuggingFace,https://huggingface.co/martin-ha,martin-ha,,,,,AI/ML Organization,2026-08-15T19:26:51.421735Z
1.0,STARTUP,HuggingFace,https://huggingface.co/tomaarsen,tomaarsen,,,,,AI/ML Organization,2026-08-15T19:26:51.421735Z
1.0,STARTUP,HuggingFace,https://huggingface.co/McGill-NLP,McGill-NLP,,,,,AI/ML Organization,2026-08-15T19:26:51.421735Z
1.0,STARTUP,HuggingFace,https://huggingface.co/ahmedrachid,ahmedrachid,,,,,AI/ML Organization,2026-08-15T19:26:51.421735Z
1.0,STARTUP,HuggingFace,https://huggingface.co/AungMoonLord,AungMoonLord,,,,,AI/ML Organization,2026-08-15T19:26:51.421735Z
1.0,STARTUP,HuggingFace,https://huggingface.co/cross-encoder-testing,cross-encoder-testing,,,,,AI/ML Organization,2026-08-15T19:26:51.421735Z
1.0,STARTUP,HuggingFace,https://huggingface.co/tabularisai,tabularisai,,,,,AI/ML Organization,2026-08-15T19:26:51.421735Z
1.0,STARTUP,HuggingFace,https://huggingface.co/jitesh,jitesh,,,,,AI/ML Organization,2026-08-15T19:26:51.421735Z
1.0,STARTUP,HuggingFace,https://huggingface.co/unitary,unitary,,,,,AI/ML Organization,2026-08-15T19:26:51.421735Z
1.0,STARTUP,HuggingFace,https://huggingface.co/internlm,internlm,,,,,AI/ML Organization,2026-08-15T19:26:51.421735Z
1.0,STARTUP,HuggingFace,https://huggingface.co/mrm8488,mrm8488,,,,,AI/ML Organization,2026-08-15T19:26:51.421735Z
1.0,STARTUP,HuggingFace,https://huggingface.co/s-nlp,s-nlp,,,,,AI/ML Organization,2026-08-15T19:26:51.421735Z
1.0,STARTUP,HuggingFace,https://huggingface.co/optimum-intel-internal-testing,optimum-intel-internal-testing,,,,,AI/ML Organization,2026-08-15T19:26:51.421735Z
1.0,STARTUP,HuggingFace,https://huggingface.co/Biociphers,Biociphers,,,,,AI/ML Organization,2026-08-15T19:26:51.421735Z
1.0,STARTUP,HuggingFace,https://huggingface.co/lucas-leme,lucas-leme,,,,,AI/ML Organization,2026-08-15T19:26:51.421735Z
1.0,STARTUP,HuggingFace,https://huggingface.co/nreimers,nreimers,,,,,AI/ML Organization,2026-08-15T19:26:51.421735Z
1.0,STARTUP,HuggingFace,https://huggingface.co/hkunlp,hkunlp,,,,,AI/ML Organization,2026-08-15T19:26:51.421735Z
1.0,STARTUP,HuggingFace,https://huggingface.co/vectara,vectara,,,,,AI/ML Organization,2026-08-15T19:26:51.421735Z
1.0,STARTUP,HuggingFace,https://huggingface.co/AdamCodd,AdamCodd,,,,,AI/ML Organization,2026-08-15T19:26:51.421735Z
1.0,STARTUP,HuggingFace,https://huggingface.co/cis-lmu,cis-lmu,,,,,AI/ML Organization,2026-08-15T19:26:51.421735Z
1.0,STARTUP,HuggingFace,https://huggingface.co/iarfmoose,iarfmoose,,,,,AI/ML Organization,2026-08-15T19:26:51.421735Z
1.0,STARTUP,HuggingFace,https://huggingface.co/oliverguhr,oliverguhr,,,,,AI/ML Organization,2026-08-15T19:26:51.421735Z
1.0,STARTUP,HuggingFace,https://huggingface.co/cointegrated,cointegrated,,,,,AI/ML Organization,2026-08-15T19:26:51.421735Z
1.0,STARTUP,HuggingFace,https://huggingface.co/timm,timm,,,,,AI/ML Organization,2026-08-15T19:26:52.203754Z
1.0,STARTUP,HuggingFace,https://huggingface.co/Falconsai,Falconsai,,,,,AI/ML Organization,2026-08-15T19:26:52.203754Z
1.0,STARTUP,HuggingFace,https://huggingface.co/dima806,dima806,,,,,AI/ML Organization,2026-08-15T19:26:52.203754Z
1.0,STARTUP,HuggingFace,https://huggingface.co/rizvandwiki,rizvandwiki,,,,,AI/ML Organization,2026-08-15T19:26:52.203754Z
1.0,STARTUP,HuggingFace,https://huggingface.co/amunchet,amunchet,,,,,AI/ML Organization,2026-08-15T19:26:52.203754Z
