recordType,rawName,canonicalName,matchType,matchScore
STARTUP,gaunernst,gaunernst,NO_MATCH,41.666666666666664
STARTUP,sentence-transformers,sentence-transformers,NO_MATCH,38.70967741935484
STARTUP,nomic-ai,nomic-ai,NO_MATCH,47.05882352941176
STARTUP,intfloat,intfloat,NO_MATCH,47.05882352941176
STARTUP,laion,laion,NO_MATCH,46.15384615384615
STARTUP,datasocietyco,datasocietyco,NO_MATCH,45.45454545454546
STARTUP,baidu,baidu,NO_MATCH,50.0
STARTUP,michaelfeil,michaelfeil,NO_MATCH,42.10526315789473
STARTUP,sentence-transformers-testing,sentence-transformers-testing,NO_MATCH,31.11111111111111
STARTUP,cambridgeltl,cambridgeltl,NO_MATCH,41.666666666666664
STARTUP,jhgan,jhgan,NO_MATCH,42.85714285714286
STARTUP,WhereIsAI,WhereIsAI,NO_MATCH,53.333333333333336
STARTUP,OpenGVLab,OpenGVLab,NO_MATCH,53.333333333333336
STARTUP,Qdrant,Qdrant,FUZZY_MATCH,100.0
STARTUP,TaylorAI,TaylorAI,NO_MATCH,44.44444444444444
STARTUP,unslothai,unslothai,NO_MATCH,44.44444444444444
STARTUP,h2oai,h2oai,NO_MATCH,54.54545454545454
STARTUP,openbmb,openbmb,NO_MATCH,46.15384615384615
STARTUP,fixie-ai,fixie-ai,NO_MATCH,37.5
STARTUP,NeuML,NeuML,NO_MATCH,25.0
STARTUP,kyutai,kyutai,NO_MATCH,46.15384615384615
STARTUP,Snowflake,Snowflake,FUZZY_MATCH,100.0
STARTUP,snunlp,snunlp,NO_MATCH,36.36363636363637
STARTUP,allenai,allenai,NO_MATCH,53.333333333333336
STARTUP,sahilchachra,sahilchachra,NO_MATCH,40.0
STARTUP,YituTech,YituTech,NO_MATCH,42.85714285714286
STARTUP,naver,naver,NO_MATCH,54.54545454545454
STARTUP,MongoDB,MongoDB,NO_MATCH,40.0
STARTUP,m-a-p,m-a-p,NO_MATCH,36.36363636363637
STARTUP,cl-nagoya,cl-nagoya,NO_MATCH,40.0
STARTUP,w11wo,w11wo,NO_MATCH,23.529411764705888
STARTUP,StanfordAIMI,StanfordAIMI,NO_MATCH,45.45454545454546
STARTUP,dslim,dslim,NO_MATCH,40.0
STARTUP,dbmdz,dbmdz,NO_MATCH,26.66666666666667
STARTUP,kredor,kredor,NO_MATCH,50.0
STARTUP,flair,flair,NO_MATCH,61.53846153846154
STARTUP,segment-any-text,segment-any-text,NO_MATCH,38.46153846153846
STARTUP,lfcc,lfcc,NO_MATCH,42.85714285714286
STARTUP,obi,obi,NO_MATCH,36.36363636363637
STARTUP,Davlan,Davlan,NO_MATCH,57.14285714285714
STARTUP,LocalAI-io,LocalAI-io,NO_MATCH,45.45454545454546
STARTUP,gravitee-io,gravitee-io,NO_MATCH,52.63157894736843
STARTUP,Babelscape,Babelscape,NO_MATCH,52.63157894736843
STARTUP,Leo97,Leo97,NO_MATCH,35.29411764705882
STARTUP,OpenMed,OpenMed,NO_MATCH,61.53846153846154
STARTUP,urchade,urchade,NO_MATCH,40.0
STARTUP,iiiorg,iiiorg,NO_MATCH,37.5
STARTUP,tner,tner,NO_MATCH,60.0
STARTUP,GozdeA,GozdeA,NO_MATCH,36.36363636363637
STARTUP,pythainlp,pythainlp,NO_MATCH,44.44444444444444
STARTUP,d4data,d4data,NO_MATCH,50.0
STARTUP,ckiplab,ckiplab,NO_MATCH,37.5
STARTUP,bigcode,bigcode,NO_MATCH,53.333333333333336
STARTUP,yuxinlu1,yuxinlu1,NO_MATCH,30.76923076923077
STARTUP,tiiuae,tiiuae,NO_MATCH,46.15384615384615
STARTUP,xai-org,xai-org,NO_MATCH,40.0
STARTUP,HuggingFaceH4,Hugging Face,PARTIAL_MATCH,95.65217391304348
STARTUP,CohereLabs,Cohere,PARTIAL_MATCH,100.0
STARTUP,mattshumer,mattshumer,NO_MATCH,50.0
STARTUP,Chain-GPT,Chain-GPT,NO_MATCH,55.55555555555556
STARTUP,MiniMaxAI,MiniMaxAI,NO_MATCH,40.0
STARTUP,dots-studio,dots-studio,NO_MATCH,43.47826086956522
STARTUP,01-ai,01-ai,NO_MATCH,40.0
STARTUP,ai21labs,ai21labs,NO_MATCH,44.44444444444444
STARTUP,Nanbeige,Nanbeige,NO_MATCH,40.0
STARTUP,openchat,openchat,NO_MATCH,47.05882352941176
STARTUP,Salesforce,Salesforce,FUZZY_MATCH,100.0
STARTUP,nlpconnect,nlpconnect,NO_MATCH,55.55555555555556
STARTUP,nanonets,nanonets,NO_MATCH,50.0
STARTUP,numind,numind,NO_MATCH,40.0
STARTUP,sensenova,sensenova,NO_MATCH,35.29411764705882
STARTUP,naver-clova-ix,naver-clova-ix,NO_MATCH,36.36363636363637
STARTUP,lightonai,lightonai,NO_MATCH,57.14285714285714
STARTUP,xtuner,xtuner,NO_MATCH,50.0
STARTUP,ATH-MaaS,ATH-MaaS,NO_MATCH,40.0
STARTUP,jinhybr,jinhybr,NO_MATCH,37.5
STARTUP,HuggingFaceM4,Hugging Face,PARTIAL_MATCH,95.65217391304348
STARTUP,kha-white,kha-white,NO_MATCH,47.05882352941176
STARTUP,FireRedTeam,FireRedTeam,NO_MATCH,34.78260869565217
STARTUP,ZJU-AI4H,ZJU-AI4H,NO_MATCH,28.57142857142857
STARTUP,unum-cloud,unum-cloud,NO_MATCH,50.0
STARTUP,keras-io,keras-io,NO_MATCH,37.5
STARTUP,Norm,Norm,NO_MATCH,40.0
STARTUP,alibaba-damo,alibaba-damo,NO_MATCH,38.095238095238095
STARTUP,monkt,monkt,NO_MATCH,40.0
STARTUP,Ertugrul,Ertugrul,NO_MATCH,42.85714285714286
STARTUP,ADSKAILab,ADSKAILab,NO_MATCH,38.095238095238095
STARTUP,xiangjx,xiangjx,NO_MATCH,37.5
STARTUP,bytkim,bytkim,NO_MATCH,40.0
STARTUP,IDEA-CCNL,IDEA-CCNL,NO_MATCH,40.0
STARTUP,breezedeus,breezedeus,NO_MATCH,31.999999999999996
STARTUP,stabilityai,Stability AI,ALIAS_MATCH,100
STARTUP,xinyu1205,xinyu1205,NO_MATCH,31.57894736842105
STARTUP,xiaolv,xiaolv,NO_MATCH,37.5
STARTUP,onnx-community,onnx-community,NO_MATCH,36.36363636363637
STARTUP,InternScience,InternScience,NO_MATCH,47.61904761904761
STARTUP,shi-labs,shi-labs,NO_MATCH,35.29411764705882
STARTUP,bakrianoo,bakrianoo,NO_MATCH,44.44444444444444
STARTUP,OleehyO,OleehyO,NO_MATCH,35.29411764705882
STARTUP,thwri,thwri,NO_MATCH,57.14285714285714
STARTUP,erax-ai,erax-ai,NO_MATCH,42.85714285714286
STARTUP,selvakumarcts,selvakumarcts,NO_MATCH,43.47826086956522
STARTUP,qualcomm,qualcomm,NO_MATCH,33.333333333333336
STARTUP,katanaml-org,katanaml-org,NO_MATCH,40.0
STARTUP,ydshieh,ydshieh,NO_MATCH,40.0
STARTUP,SakanaAI,SakanaAI,NO_MATCH,42.85714285714286
